username,key,value

postnl,1,Wat is PostNL?
postnl,2,Wat nou als ik veel pakketten moet versturen?
postnl,3,Vertel me meer over de haalservice
postnl,4,Schrijf een mail voor een prospect over de haalservice
postnl,5,Wat zijn de duurzaamheidsvoordelen van de haalservice?

datastax,1,What is DataStax?
datastax,2,What is Vector Search?
datastax,3,Tell me more about why Astra DB is the best!
datastax,4,Write an email for a prospect about Astra DB
datastax,5,What advantages does Astra DB offer for Generative AI?
datastax,6,What strategies exists for meaningful agent interaction
datastax,7,How can I use Astra DB in a RAG application?

uniphore,1,What is Uniphore?
uniphore,2,What is Uniphore Q?
uniphore,3,Tell me more about why Uniphore Q is the best product!
uniphore,4,Write an email for a prospect
uniphore,5,What advantages does Uniphore Q offer?
uniphore,6,What strategies exists for meaningful seller and buyer interaction
uniphore,7,How can I integrate Uniphore Q with enterprise applications?

spotify,1,What songs are hot right now?
spotify,2,Create me a summer jams playlist
spotify,3,Give me a playlist of 90s throwback music
spotify,4,Create me a party playlist
spotify,5,Give me some songs that are good for long drives
spotify,6,What kind of genres do people listen to at the gym? 
spotify,7,New artists that make mostly indie music? 
